long,lat
-122.3594208,37.61209619
-122.3594208,37.61216344
-122.3596815,37.61227163
-122.3599625,37.61239559
-122.3603072,37.61254621
-122.3607152,37.61272119
-122.3611866,37.61291928
-122.3618009,37.61317132
-122.3624256,37.61342141
-122.363102,37.61368589
-122.3638255,37.61396233
-122.364759,37.61431021
-122.3656373,37.61462982
-122.3665569,37.61495794
-122.3675482,37.61530545
-122.3687693,37.61530545
-122.3687693,37.61572614
-122.3700408,37.61615707
-122.3714047,37.61615707
-122.3714047,37.61661306
-122.3726284,37.61701745
-122.3741197,37.61750357
-122.3754531,37.6179302
-122.3768322,37.61837031
-122.3782604,37.61882875
-122.3799546,37.61937634
-122.3814315,37.6198571
-122.3831715,37.6204277
-122.3846581,37.62091891
-122.3861641,37.62091891
-122.3861641,37.62142007
-122.3879119,37.62200609
-122.3893918,37.62250599
-122.3908416,37.62299894
-122.3923216,37.62350538
-122.3937703,37.6240043
-122.395448,37.62458421
-122.3968817,37.62507748
-122.3983162,37.62556818
-122.3997638,37.62556818
-122.3997638,37.6260589
-122.4014464,37.62662176
-122.402854,37.62708486
-122.404348,37.62756786
-122.4058043,37.62803878
-122.4072655,37.62850699
-122.4089478,37.62850699
-122.4089478,37.62903845
-122.4104237,37.6294969
-122.4119077,37.62994927
-122.4136494,37.63046804
-122.4151516,37.63090402
-122.416694,37.63134008
-122.4186904,37.63188645
-122.420232,37.6322942
-122.4217714,37.63268897
-122.4233082,37.6330708
-122.4251344,37.63350877
-122.4266878,37.63386807
-122.4282701,37.6342219
-122.4298484,37.63456296
-122.4314443,37.63456296
-122.4314443,37.63489618
-122.4333011,37.63526975
-122.4348991,37.6355796
-122.4365139,37.63588228
-122.4381116,37.63617195
-122.4399838,37.63649965
-122.4416259,37.63677723
-122.4432501,37.63704329
-122.4448674,37.63730033
-122.4470455,37.63763487
-122.4486952,37.6378799
-122.4503377,37.63811709
-122.4519726,37.6383468
-122.4538753,37.63860641
-122.4555529,37.63882871
-122.4571884,37.63903965
-122.4591395,37.6392841
-122.4607945,37.63948546
-122.4627666,37.63971844
-122.4644296,37.63990913
-122.4661077,37.64009633
-122.4680702,37.6403087
-122.4700376,37.64051465
-122.4720099,37.64071429
-122.473987,37.64090776
-122.4756736,37.64106771
-122.4776831,37.64125236
-122.479389,37.64140424
-122.4813834,37.64157639
-122.4833699,37.6417423
-122.4853832,37.64190509
-122.4873857,37.64206202
-122.4891138,37.64219372
-122.4911142,37.64234223
-122.4930996,37.64248582
-122.4953535,37.64264477
-122.4970932,37.64276489
-122.4987939,37.64288044
-122.5004437,37.64299102
-122.5024305,37.64312257
-122.5041428,37.64323485
-122.5060856,37.64336138
-122.5080476,37.64348863
-122.5100172,37.64361628
-122.5122501,37.64376145
-122.5139219,37.64387086
-122.5158698,37.64399951
-122.5178385,37.64413129
-122.5194817,37.64424295
-122.5211473,37.64435798
-122.5231017,37.64449569
-122.5247672,37.64449569
-122.5247672,37.64461567
-122.5267109,37.64475914
-122.5283779,37.64488539
-122.5300461,37.64501496
-122.5319941,37.64517064
-122.533294,37.64527729
-122.5353503,37.64545077
-122.5373046,37.64562128
-122.5392612,37.64579773
-122.5412084,37.64597919
-122.5431812,37.64616911
-122.5451443,37.64636427
-122.5470976,37.64656456
-122.5490411,37.64676985
-122.5507284,37.6469529
-122.5524287,37.64714183
-122.5546938,37.64740045
-122.5563616,37.64759588
-122.5583477,37.64783414
-122.5606289,37.64811517
-122.5622992,37.64832595
