long,lat
-122.3593418,37.61213016
-122.359504,37.61219852
-122.3597665,37.6123091
-122.3600516,37.6123091
-122.3600516,37.61242918
-122.3604022,37.61257678
-122.3608895,37.6127819
-122.3613774,37.61298716
-122.3619232,37.61321653
-122.362529,37.61347093
-122.3633154,37.61347093
-122.3633154,37.61380083
-122.3640436,37.61410588
-122.3648452,37.61410588
-122.3648452,37.61444129
-122.3658023,37.61484116
-122.3667455,37.61523213
-122.3677126,37.61523213
-122.3677126,37.61563137
-122.3689081,37.6161238
-122.3699893,37.616568
-122.3711215,37.61703193
-122.3723038,37.61751485
-122.3737382,37.61809495
-122.3750471,37.61861687
-122.3763818,37.61914866
-122.3777522,37.61914866
-122.3777522,37.61969742
-122.3793864,37.62035554
-122.3808084,37.62093162
-122.3822415,37.62151547
-122.3839179,37.62151547
-122.3839179,37.62220271
-122.3853224,37.6227821
-122.3867504,37.6233745
-122.38817,37.6233745
-122.38817,37.62396669
-122.3895801,37.62455815
-122.3910089,37.62516068
-122.392369,37.62573725
-122.3939869,37.62642667
-122.3953598,37.62701455
-122.3967317,37.62760384
-122.3981049,37.6281933
-122.3994806,37.62878209
-122.4008791,37.62937697
-122.4024853,37.63005206
-122.4038778,37.63062743
-122.4052794,37.63119445
-122.4066818,37.63174724
-122.408116,37.63229535
-122.4097941,37.63291232
-122.4112473,37.63342362
-122.4127249,37.63392034
-122.4141861,37.63438765
-122.415703,37.63484689
-122.4172136,37.63527727
-122.4189938,37.63574972
-122.4205128,37.63612308
-122.4220876,37.63648145
-122.423893,37.63685691
-122.4254822,37.63685691
-122.4254822,37.63715672
-122.4270486,37.63742471
-122.4286464,37.63767071
-122.4302528,37.63767071
-122.4302528,37.63789029
-122.4318671,37.63808368
-122.4334999,37.63825252
-122.4353993,37.63841745
-122.4370329,37.63853365
-122.4389557,37.63864149
-122.4408611,37.63871961
-122.4425076,37.63871961
-122.4425076,37.6387655
-122.4441569,37.6387655
-122.4441569,37.6387926
-122.4460959,37.63880176
-122.4477505,37.63879138
-122.4494071,37.63876514
-122.4510656,37.63872399
-122.4527258,37.63866881
-122.4543876,37.63860048
-122.4563284,37.63850528
-122.458283,37.63839396
-122.45995,37.63828772
-122.4616186,37.63817151
-122.4635672,37.63802412
-122.4652391,37.63788794
-122.4671915,37.63771822
-122.4688319,37.63756743
-122.4705092,37.63756743
-122.4705092,37.63740842
-122.4724929,37.63722033
-122.4747158,37.63701804
-122.4764059,37.63687843
-122.4781015,37.63675653
-122.4800869,37.63664339
-122.4820911,37.63656797
-122.4838027,37.63653872
-122.4860868,37.63655514
-122.4880833,37.63662472
-122.4897907,37.63672655
-122.4914934,37.63686259
-122.493494,37.63706454
-122.4951677,37.63726513
-122.4968445,37.6374918
-122.4984665,37.6374918
-122.4984665,37.63773308
-122.5001727,37.63800801
-122.502054,37.63833315
-122.5040288,37.63869608
-122.5056659,37.63901121
-122.5072975,37.63933639
-122.5089242,37.63967019
-122.5105464,37.64001131
-122.5121649,37.64001131
-122.5121649,37.6403587
-122.5140492,37.64077074
-122.5156282,37.64112131
-122.5172501,37.64148598
-122.5191158,37.6419124
-122.5209914,37.64234731
-122.5228666,37.64278651
-122.5244743,37.6431654
-122.5263624,37.64361172
-122.5285101,37.64411907
-122.5301233,37.64449861
-122.5320086,37.64493915
-122.5336276,37.64531372
-122.5352498,37.64568446
-122.5371468,37.64611081
-122.5387882,37.64647235
-122.5406951,37.64688214
-122.5423342,37.64722457
-122.5439777,37.64755792
-122.5456258,37.64788157
-122.5472784,37.64788157
-122.5472784,37.64819505
-122.5492238,37.64854947
-122.5508861,37.64883974
-122.5525527,37.6491193
-122.5542235,37.6491193
-122.5542235,37.64938676
-122.5558523,37.64963134
-122.5578595,37.64990906
-122.5595448,37.65012103
-122.5611989,37.65030959
-122.562892,37.65047919
-122.5645886,37.65062491
-122.5663117,37.65074841
-122.5679899,37.65084731
-122.5699891,37.65094021
-122.571966,37.6510089
-122.5736948,37.65105303
-122.5756724,37.65108846
-122.5774012,37.6511086
-122.5790822,37.6511202
-122.5810232,37.65112549
-122.5827743,37.65112401
-122.5847732,37.65111615
-122.5864757,37.65110488
-122.5881777,37.65108986
-122.589879,37.6510714
-122.591863,37.65104588
-122.5935629,37.65102086
-122.5952622,37.65099316
-122.5969727,37.65096298
-122.5986709,37.65093117
-122.6006515,37.6508923
-122.6023487,37.65085795
-122.6043283,37.65081732
-122.6060249,37.65078352
-122.6079806,37.65074733
-122.6096653,37.65072013
-122.611362,37.65069794
-122.6133416,37.65068049
-122.6150387,37.65067437
-122.616736,37.65067788
-122.618457,37.65067788
-122.618457,37.65069268
-122.6204258,37.65072534
-122.6221233,37.6507684
-122.6238205,37.65082632
-122.6255173,37.65089996
-122.6277783,37.65102379
-122.6294727,37.65102379
-122.6294727,37.65113673
-122.6311777,37.65113673
-122.6311777,37.65126674
-122.633151,37.65143818
-122.6348522,37.65160379
-122.6365279,37.65178271
-122.638447,37.65200626
-122.6404566,37.65226085
-122.6424163,37.65252797
-122.6441053,37.65277149
-122.6457804,37.65302536
-122.6474529,37.65329087
-122.6494013,37.65361447
-122.6510687,37.65390298
-122.6527341,37.65420052
-122.6543629,37.65449974
-122.6563013,37.65486527
-122.657961,37.65518542
-122.6596193,37.65551106
-122.6615524,37.65589696
-122.6632081,37.65623217
-122.6651384,37.65662772
-122.6668035,37.65697257
-122.6668035,37.65697257
